run_id,run_date,scored_at,country_iso3,composite,coverage,growth_momentum,external_balance,monetary_stance,risk_sentiment,news_heat_sigma
5f9077a201ed4bd7,2026-04-17,2026-04-17T23:47:25.733463+00:00,TUR,0.2300,1.00,0.5174,0.6311,-0.4897,0.2513,
5f9077a201ed4bd7,2026-04-17,2026-04-17T23:47:25.733463+00:00,ZAF,0.3700,1.00,0.4642,1.3538,-0.5883,0.2616,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,BRA,0.2200,1.00,-0.5851,0.6068,-0.0469,0.8969,6.70
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,CHL,0.1900,1.00,0.0159,0.4026,-0.3297,0.6857,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,COL,-0.0200,1.00,-0.3353,0.0317,-0.5792,0.7864,6.50
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,CZE,0.1700,1.00,-0.2398,0.5700,-0.3394,0.6959,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,EGY,-0.1400,1.00,-0.0327,-0.3539,-0.6948,0.5195,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,IDN,-0.1000,1.00,-0.4012,0.1233,-0.2143,0.1105,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,IND,-0.3900,1.00,-0.6071,-0.5754,-0.3144,-0.0596,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,KEN,0.1100,1.00,0.3720,0.4562,-0.4645,0.0748,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,MEX,-0.0300,1.00,-0.5000,0.2858,-0.3101,0.4012,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,NGA,-0.2200,1.00,-0.3018,0.0772,-0.6935,0.0267,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,POL,0.4200,1.00,0.6383,0.6815,-0.1603,0.5157,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,SAU,-0.0000,1.00,-0.6529,0.1657,-0.0278,0.5033,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,THA,0.2400,1.00,-0.1688,0.3990,0.3463,0.3876,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,TUR,0.2300,1.00,0.5174,0.6311,-0.4897,0.2532,
4466ea48c3854dee,2026-04-17,2026-04-18T00:26:51.186648+00:00,ZAF,0.3800,1.00,0.4642,1.3538,-0.5883,0.2940,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,BRA,0.2200,1.00,-0.5851,0.6068,-0.0469,0.9009,6.70
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,CHL,0.1900,1.00,0.0159,0.4026,-0.3297,0.6562,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,COL,-0.0200,1.00,-0.3353,0.0317,-0.5792,0.7915,6.50
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,CZE,0.1700,1.00,-0.2398,0.5700,-0.3394,0.6954,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,EGY,-0.1500,1.00,-0.0327,-0.3539,-0.6948,0.4937,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,IDN,-0.1000,1.00,-0.4012,0.1233,-0.2143,0.0734,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,IND,-0.3700,1.00,-0.6071,-0.5754,-0.3144,0.0031,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,KEN,0.1100,1.00,0.3720,0.4562,-0.4645,0.0735,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,MEX,-0.0300,1.00,-0.5000,0.2858,-0.3101,0.3865,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,NGA,-0.2200,1.00,-0.3018,0.0772,-0.6935,0.0262,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,POL,0.4000,1.00,0.6383,0.6815,-0.1603,0.4411,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,SAU,-0.0000,1.00,-0.6529,0.1657,-0.0278,0.5094,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,THA,0.2400,1.00,-0.1688,0.3990,0.3463,0.3832,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,TUR,0.2400,1.00,0.5174,0.6311,-0.4897,0.2843,
3e014e59aa254d8a,2026-04-18,2026-04-18T14:08:18.359296+00:00,ZAF,0.3700,1.00,0.4642,1.3538,-0.5883,0.2641,
